route,relatedRoute,check,expected,actual,severity,status,details
/bueroumzug-herzogenaurach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-hirschau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-hohenfels,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-holzheim-am-forst,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-ingolstadt,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-kallmuenz,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-kelheim,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-kissing,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-koefering,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-koenigsbrunn,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-koetzting,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-laaber,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-landau-an-der-isar,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-landsberg-am-lech,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-landshut,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-langquaid,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-lappersdorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-lauf-an-der-pegnitz,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-lupburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-mainburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-mallersdorf-pfaffenberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-mammendorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-maxhuette-haidhof,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-mering,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-mintraching,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-moetzing,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-moosburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-muenchen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-nabburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neu-ulm,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neufahrn-in-niederbayern,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neumarkt,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neunburg-vorm-wald,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neusaess,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neustadt-an-der-donau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neustadt-an-der-waldnaab,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-neutraubling,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-nittenau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-nittendorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-nuernberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-oberasbach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-obertraubling,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-oberviechtach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-olching,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-osterhofen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-painten,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-parsberg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-passau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pentling,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pettendorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pfaffenhofen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pfarrkirchen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pfatter,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pfeffenhausen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pfreimd,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pielenhofen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-plattling,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-pocking,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-postbauer-heng,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-regen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-regensburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-regenstauf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-riedenburg,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-riekofen,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-roding,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-rosenheim,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-roth,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-rottenburg-an-der-laaber,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-saal-an-der-donau,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-schierling,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-schnaittenbach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-schwabach,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-schwandorf,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
/bueroumzug-schwarzenfeld,/leistungen,SPECIALIST_WITHOUT_HUB_LINK,link from /leistungen,missing,REVIEW,FAIL,
